特征英文名,特征中文名,数据类型
party_id,party_id,string
party_chn_name,party_chn_name,string
party_eng_name,party_eng_name,string
company_type_cd,company_type_cd,string
company_type_cd_desc,company_type_cd_desc,string
scopeelec,scopeelec,string
scopeelec_desc,scopeelec_desc,string
scope,scope,string
scope_desc,scope_desc,string
org_form_cd,org_form_cd,string
org_form_cd_desc,org_form_cd_desc,string
party_cat_cd,party_cat_cd,string
party_cat_cd_desc,party_cat_cd_desc,string
src_private,src_private,string
src_private_desc,src_private_desc,string
org_tp_cd,org_tp_cd,string
org_tp_cd_desc,org_tp_cd_desc,string
ownership_tp_cd,ownership_tp_cd,string
ownership_tp_cd_desc,ownership_tp_cd_desc,string
tax_qualif,tax_qualif,string
tax_qualif_desc,tax_qualif_desc,string
safe_code,safe_code,string
safe_code_desc,safe_code_desc,string
country_cd_desc,country_cd_desc,string
reg_id,reg_id,string
industrykey,industrykey,string
industrykey_desc,industrykey_desc,string
business_st_tp_cd,business_st_tp_cd,string
business_st_tp_cd_desc,business_st_tp_cd_desc,string
corporation_status,corporation_status,string
client_st_tp_cd,client_st_tp_cd,string
client_st_tp_cd_desc,client_st_tp_cd_desc,string
cust_regdate,cust_regdate,string
enrol_fund_amt,enrol_fund_amt,string
enrol_fund_currency,enrol_fund_currency,string
reg_area,reg_area,string
reg_addr,reg_addr,string
office_addr,office_addr,string
contact_name,contact_name,string
linker_tel,linker_tel,string
iden_no,iden_no,string
org_cd_iden_eff_dt,org_cd_iden_eff_dt,string
org_cd_no,org_cd_no,string
business_licence,business_licence,string
biz_licence_start_dt,biz_licence_start_dt,string
licence_end_dt,licence_end_dt,string
license_year_check_dt,license_year_check_dt,string
legal_obj,legal_obj,string
legal_con_num,legal_con_num,string
legal_country,legal_country,string
corp_no,corp_no,string
actual_ctl_person1,actual_ctl_person1,string
actual_ctl_person2,actual_ctl_person2,string
agent_name,agent_name,string
accountant_name,accountant_name,string
group_cust_ind,group_cust_ind,string
is_group_cust,is_group_cust,string
assoc_party_id,assoc_party_id,string
group_name,group_name,string
group_node_tp_cd,group_node_tp_cd,string
creditflag,creditflag,string
creditamt,creditamt,string
used_creditamt,used_creditamt,string
creditdate,creditdate,string
balance_stock,balance_stock,string
datasource,datasource,string
is_inner_fin_cust,is_inner_fin_cust,string
is_merch_id,is_merch_id,string
smclient_exclusive,smclient_exclusive,string
smclient_tp_cd,smclient_tp_cd,string
